year,month,date,time,Press_sfc[hPa],Ta[C]
2022,5,1,1,1015.7,18.9
2022,5,1,2,1015.3,17.8
2022,5,1,3,1014.9,17.8
2022,5,1,4,1014.8,17.8
2022,5,1,5,1015.3,18.3
2022,5,1,6,-9999,18.3
2022,5,1,7,1016.2,17.6
2022,5,1,8,1016.2,18
2022,5,1,9,1016.4,17.7
2022,5,1,10,1016.9,17.7
2022,5,1,11,1017.1,17.7
2022,5,1,12,1016.8,-9999
2022,5,1,13,1016.5,17.8
2022,5,1,14,1015.9,17.7
2022,5,1,15,1015.9,17.3
2022,5,1,16,1016,16.6
2022,5,1,17,1016.1,16.7
2022,5,1,18,1016.6,16.6
2022,5,1,19,1017.3,16.6
2022,5,1,20,1018.2,15.8
2022,5,1,21,1018.5,16.7
2022,5,1,22,1018.7,16.7
2022,5,1,23,1018.3,16.1
2022,5,1,24,1017.8,16.3
2022,5,2,1,1017.7,15.8
2022,5,2,2,1017.3,16
2022,5,2,3,1017.2,16
2022,5,2,4,1017,15.6
2022,5,2,5,1017,15.9
2022,5,2,6,1017.1,15.5
2022,5,2,7,1017.7,15.5
2022,5,2,8,1018.3,15.5
2022,5,2,9,1018,15.9
2022,5,2,10,1018,16.4
2022,5,2,11,1017.8,16
2022,5,2,12,1017.8,15.5
2022,5,2,13,1017.5,15.1
2022,5,2,14,1017.2,14.9
2022,5,2,15,1017.4,15.3
2022,5,2,16,1017.2,15.1
2022,5,2,17,1017.4,15.2
2022,5,2,18,1017.4,16.2
2022,5,2,19,1018.1,17.2
2022,5,2,20,1018.3,17.8
2022,5,2,21,1018.7,17.9
2022,5,2,22,1019,18.2
2022,5,2,23,1018.2,18.5
2022,5,2,24,1018.3,18.6
2022,5,3,1,1018.5,18.7
2022,5,3,2,1017.8,18.7
2022,5,3,3,1017.4,18.8
2022,5,3,4,1017.4,18.9
2022,5,3,5,1017.5,19.2
2022,5,3,6,1017.7,19.4
2022,5,3,7,1018.2,19.8
2022,5,3,8,1018.2,20.1
2022,5,3,9,1018.5,20.6
2022,5,3,10,1019,20.9
2022,5,3,11,1018.7,21.7
2022,5,3,12,1018.6,20.9
2022,5,3,13,1017.8,22.5
2022,5,3,14,1017.7,22.7
2022,5,3,15,1017.2,22.3
2022,5,3,16,1017.7,21.6
2022,5,3,17,1017.6,20.9
2022,5,3,18,1017.9,20.6
2022,5,3,19,1018,20.6
2022,5,3,20,1018.3,20.8
2022,5,3,21,1018.5,21.3
2022,5,3,22,1018.4,22
2022,5,3,23,1018.3,22.2
2022,5,3,24,1017.8,22.3
2022,5,4,1,1017.1,22.2
2022,5,4,2,1016.5,22.2
2022,5,4,3,1016.3,22.3
2022,5,4,4,1016.2,22.1
2022,5,4,5,1016.2,22.2
2022,5,4,6,1016.6,21.9
2022,5,4,7,1017,21.8
2022,5,4,8,1017.2,21.7
2022,5,4,9,1017.5,22
2022,5,4,10,1017,22
2022,5,4,11,1017,22.2
2022,5,4,12,1016.5,22.3
2022,5,4,13,1015.9,22.5
2022,5,4,14,1015.2,22.3
2022,5,4,15,1014.9,22.3
2022,5,4,16,-9999,22.1
2022,5,4,17,1014.8,21.2
2022,5,4,18,1014.5,21.4
2022,5,4,19,1014.9,21.5
2022,5,4,20,1015.1,21.7
2022,5,4,21,1015.5,22
2022,5,4,22,1015.7,21.9
2022,5,4,23,1015,21.7
2022,5,4,24,1014.5,22.5
2022,5,5,1,1013.6,22.9
2022,5,5,2,1013.2,21.9
2022,5,5,3,1012.8,22
2022,5,5,4,1012.7,-9999
2022,5,5,5,1012.8,23.4
2022,5,5,6,1013.1,22.8
2022,5,5,7,1013.4,21.7
2022,5,5,8,1013.4,21.2
2022,5,5,9,1013.3,21.9
2022,5,5,10,1013.2,21.8
2022,5,5,11,1013.1,22.1
2022,5,5,12,1012.9,21.8
2022,5,5,13,1012.5,22.4
2022,5,5,14,1011.7,22.9
2022,5,5,15,1011.3,23
2022,5,5,16,1011.1,23
2022,5,5,17,1011.2,22.6
2022,5,5,18,1011.4,22.5
2022,5,5,19,1011.6,22.4
2022,5,5,20,1012.3,22.5
2022,5,5,21,1012.5,22.6
2022,5,5,22,1012.9,22.6
2022,5,5,23,1012.6,22.6
2022,5,5,24,1012.3,22.6
2022,5,6,1,1012,22.6
2022,5,6,2,1011.7,22.4
2022,5,6,3,1011.7,22.1
2022,5,6,4,1011.5,21.9
2022,5,6,5,1011.6,21.9
2022,5,6,6,1012.2,22.3
2022,5,6,7,1012.8,22.9
2022,5,6,8,1013.2,22.9
2022,5,6,9,1013.7,22.4
2022,5,6,10,1013.9,23.5
2022,5,6,11,1014,23.9
2022,5,6,12,1013.5,24.1
2022,5,6,13,1013.3,23.9
2022,5,6,14,1012.8,23.2
2022,5,6,15,1012.7,23
2022,5,6,16,1012.6,23.1
2022,5,6,17,-9999,23
2022,5,6,18,1013.2,22.7
2022,5,6,19,1013.5,22.6
2022,5,6,20,1013.7,22.5
2022,5,6,21,1014.1,22.8
2022,5,6,22,1014.4,22.6
2022,5,6,23,1014,22.5
2022,5,6,24,1013.9,22.5
2022,5,7,1,1013.6,22.6
2022,5,7,2,1013.1,22.8
2022,5,7,3,1013,22.9
2022,5,7,4,1013.4,22.6
2022,5,7,5,1013.4,22.7
2022,5,7,6,1013.9,22.5
2022,5,7,7,1014.5,22.8
2022,5,7,8,1015,23.8
2022,5,7,9,1015.3,23.8
2022,5,7,10,1015.8,-9999
2022,5,7,11,1015.7,24.9
2022,5,7,12,1015.4,24.8
2022,5,7,13,1014.9,25.1
2022,5,7,14,1014.6,24.1
2022,5,7,15,1014.5,24.2
2022,5,7,16,1014.2,23.4
2022,5,7,17,1014.1,23
2022,5,7,18,1014.5,22.7
2022,5,7,19,1014.5,22.9
2022,5,7,20,1015.1,23.1
2022,5,7,21,1015.1,23.2
2022,5,7,22,1015.5,23.6
2022,5,7,23,1015.5,23.7
2022,5,7,24,1015.3,23.7
2022,5,8,1,1014.9,23.5
2022,5,8,2,1014.2,23.3
2022,5,8,3,1014.3,23.4
2022,5,8,4,1014.2,23.4
2022,5,8,5,1013.7,23.3
2022,5,8,6,1014.7,23
2022,5,8,7,1015.4,23.5
2022,5,8,8,1015,23.7
2022,5,8,9,1016.1,23.9
2022,5,8,10,1015.7,24.2
2022,5,8,11,1015.1,24.7
2022,5,8,12,1015.2,24.3
2022,5,8,13,1014.7,24
2022,5,8,14,1013.8,24.1
2022,5,8,15,1013.6,23.8
2022,5,8,16,1013.5,23.4
2022,5,8,17,1013.4,23.3
2022,5,8,18,1013.3,23
2022,5,8,19,1014.2,23.1
2022,5,8,20,1014.2,23
2022,5,8,21,1014.6,22.9
2022,5,8,22,1014.9,23
2022,5,8,23,1014.7,22.9
2022,5,8,24,1014.6,23.2
2022,5,9,1,1013.9,23.1
2022,5,9,2,1013,22.8
2022,5,9,3,1013.1,22.9
2022,5,9,4,1013.4,23
2022,5,9,5,1013.8,23.2
2022,5,9,6,1014.3,22.9
2022,5,9,7,1015,22.9
2022,5,9,8,1015.3,22.7
2022,5,9,9,1015.7,22.9
2022,5,9,10,1015.8,23.2
2022,5,9,11,1015.2,23.5
2022,5,9,12,1015.2,23.5
2022,5,9,13,1014.6,23.6
2022,5,9,14,1014.5,23
2022,5,9,15,1013.6,22.9
2022,5,9,16,1013.1,22.8
2022,5,9,17,1013.1,22.9
2022,5,9,18,1013.2,22.8
2022,5,9,19,1013.6,22.8
2022,5,9,20,1014.3,22.9
2022,5,9,21,1014.6,23.1
2022,5,9,22,1014.5,22.9
2022,5,9,23,1014.3,23
2022,5,9,24,1013.9,22.9
2022,5,10,1,1013.2,23
2022,5,10,2,1012.9,22.9
2022,5,10,3,1012.1,22.9
2022,5,10,4,1011.8,22.9
2022,5,10,5,-9999,23.2
2022,5,10,6,1012.4,23.6
2022,5,10,7,1012.7,24
2022,5,10,8,1013.3,24.3
2022,5,10,9,1013.1,25.6
2022,5,10,10,1012.8,25.5
2022,5,10,11,1012.4,26.2
2022,5,10,12,1011.8,25.9
2022,5,10,13,1011.3,24.9
2022,5,10,14,1010.4,24
2022,5,10,15,1010.5,-9999
2022,5,10,16,1010,24.1
2022,5,10,17,1009.7,24.2
2022,5,10,18,1010.3,24.3
2022,5,10,19,1011,24.3
2022,5,10,20,1011.3,24
2022,5,10,21,1011.2,23.2
2022,5,10,22,1011,23.1
2022,5,10,23,1011.2,23.1
2022,5,10,24,1010.4,23
